"year","month","fleet","sex","partition","InputN","U18","U20","U22","U24","U26","U28","U30","U32","U34","U36","U38","U40","U42","U44","U46","U48","U50","U52","U54","U56","U58","U60","U62","U64","U66","U68","U70","U72","U74","U76","U78","U80","U82","U84","U86","U88","U90","U18","U20","U22","U24","U26","U28","U30","U32","U34","U36","U38","U40","U42","U44","U46","U48","U50","U52","U54","U56","U58","U60","U62","U64","U66","U68","U70","U72","U74","U76","U78","U80","U82","U84","U86","U88","U90"
2013,7,7,0,0,45,0,7.19562595475041,6.37134848832147,12.3743344630091,16.199643406011,7.87248918911019,1.54919550980787,0.261138177863174,0.20931436421507,0.372535340187281,0.20931436421507,0.216063959239369,2.45794867692554,7.28883190085518,0.163220975972211,23.4021535630939,0,0,2.87088543918134,1.39218569962725,0,0,0,0,0,2.87088543918134,6.58791241756264,0,0,0,0,0,0,0,0,0.134972670870517,0,0,7.19562595475041,6.37134848832147,12.3743344630091,16.199643406011,7.87248918911019,1.54919550980787,0.261138177863174,0.20931436421507,0.372535340187281,0.20931436421507,0.216063959239369,2.45794867692554,7.28883190085518,0.163220975972211,23.4021535630939,0,0,2.87088543918134,1.39218569962725,0,0,0,0,0,2.87088543918134,6.58791241756264,0,0,0,0,0,0,0,0,0.134972670870517,0
2014,7,7,0,0,7,0,0,22.8370686588403,25.9000355745286,0,11.0040910707933,0,0,7.62540021344717,0,0,0,32.6334044823906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8370686588403,25.9000355745286,0,11.0040910707933,0,0,7.62540021344717,0,0,0,32.6334044823906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7496910271301,27.4218075285148,4.51081777301289,0,13.4704726168141,32.4686746180649,9.37853643646327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7496910271301,27.4218075285148,4.51081777301289,0,13.4704726168141,32.4686746180649,9.37853643646327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,7,0,0,28,0,2.8869387967043,4.35003121569745,16.2412798315198,30.0327010091667,5.62172371028452,0.390830192643722,0,0,2.35162279361775,7.0548080023282,11.7579932110386,4.7032455872355,4.7032455872355,2.35162279361775,0,0,0,0,7.55395726891025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8869387967043,4.35003121569745,16.2412798315198,30.0327010091667,5.62172371028452,0.390830192643722,0,0,2.35162279361775,7.0548080023282,11.7579932110386,4.7032455872355,4.7032455872355,2.35162279361775,0,0,0,0,7.55395726891025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,7,0,0,11,0,9.63889693964083,19.8386629311178,14.4290943440784,0,6.69446859670026,6.69446859670026,13.3889371934005,0,0,0,0,0,0,0,0,0,0,0,7.32886784959048,0,7.32886784959048,0,7.32886784959048,0,7.32886784959048,0,0,0,0,0,0,0,0,0,0,0,0,9.63889693964083,19.8386629311178,14.4290943440784,0,6.69446859670026,6.69446859670026,13.3889371934005,0,0,0,0,0,0,0,0,0,0,0,7.32886784959048,0,7.32886784959048,0,7.32886784959048,0,7.32886784959048,0,0,0,0,0,0,0,0,0,0,0
2018,7,7,0,0,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,7,7,0,0,3,0,0,68.258920249973,31.741079750027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.258920249973,31.741079750027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,7,7,0,0,71,22.2749411935318,9.98417921482267,29.774280657031,30.8087060315349,6.45603562266854,0.701857280411154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98417921482267,29.774280657031,30.8087060315349,6.45603562266854,0.701857280411154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,7,7,0,0,9,6.62266748101624,11.1733014886189,15.0252053345974,26.8379839378663,30.4341880965187,3.85235963864757,6.05429402273494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62266748101624,11.1733014886189,15.0252053345974,26.8379839378663,30.4341880965187,3.85235963864757,6.05429402273494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,7,7,3,0,994,0,0.0397794306298768,0.170266742600194,0.215102890486426,0.215441809399582,0.185114450681049,0.249823250256384,0.21144539054862,0.254881144314521,0.621837359921459,0.430933044473999,0.84451296987371,0.839917558915816,1.05215022985645,1.92426626232385,2.92380168451644,6.10892161909379,5.65586352432034,6.00867222890659,4.07232138908553,3.08611677747707,2.64465959466851,1.91939194934367,1.29749692613491,0.747656299223412,1.1650184655498,1.06144578713082,0.367411637896491,1.43698912533949,0.134330746589646,0.262552715130016,0.550590249646495,0.0419977019885526,0.0198279332213944,0.0525547907729985,0.0678932251968607,0.0392416322155984,0.0204057428962537,0.132490228602925,0.297600225795311,0.476335234017272,0.0690582589608337,0,0.0138003544950615,0.114990009305913,0.176219006012492,1.33348470142385,0.698160016281288,1.0674510066233,1.72405932879133,1.88466805916837,3.13860919775563,6.21153991126773,8.97674048924687,7.11122370227536,6.81360464765154,4.58162590182145,3.28305337885799,1.86082605506929,1.53979335219496,0.645245124163062,0.498814501653042,0.227560514148464,0.0869680052779089,0.0596626735350154,0,0.00821525323868207,0,0,0,0,0,0,0.0275665817384511
